PlotID,Date,Category,Canopy1,Canopy2,Canopy3,Canopy4,Litter1,Litter2,Litter3,Litter4,Litter5,Mean_LD,N,E,Data.collected.by,Plot.remarks,CanopyA,CanopyB,CanopyC,CanopyD,Mean_canopy
AC01,07-04-23,AC,11,12,5,13,2.5,6,9,6.5,5,5.8,12.8891,75.6721,"Vijay, Manu, Kiran, Abhirami",NA,88.56,87.52,94.8,86.48,89.34
EC01,07-04-23,EC,7,5,17,6,6,5.5,3.5,4,4,4.6,12.8896,75.6713,"Vijay, Manu, Kiran, Abhirami",NA,92.72,94.8,82.32,93.76,90.9
AC02,09-04-23,AC,28,22,13,16,5,6.8,3.5,5,3.2,4.7,12.8907,75.6727,"Vijay, Manu, Kiran, Abhirami",NA,70.88,77.12,86.48,83.36,79.46
EC02,09-04-23,EC,6,5,3,3,7,8.5,7,7.5,9,7.8,12.8905,75.6714,"Vijay, Manu, Kiran, Abhirami",NA,93.76,94.8,96.88,96.88,95.58
AC03,10-04-23,AC,15,10,8,6,6.2,3.5,3.4,7.6,3.8,4.9,12.8896,75.6729,"Vijay, Manu, Kiran, Abhirami",Active coffee lopping,84.4,89.6,91.68,93.76,89.86
EC03,10-04-23,EC,7,6,8,7,2.5,6,5.5,4.5,4,4.5,12.8901,75.6714,"Vijay, Manu, Kiran, Abhirami",NA,92.72,93.76,91.68,92.72,92.72
EC04,17-04-23,EC,6,4,7,9,7.5,4.5,5,6.5,6.5,6,12.8916,75.6722,"Vijay, Kiran, Ranjith, Sanjeeth, Abhirami",NA,93.76,95.84,92.72,90.64,93.24
AC04,17-04-23,AC,9,4,4,5,2,4,4.5,7.5,5,4.6,12.8915,75.6727,"Vijay, Kiran, Ranjith, Sanjeeth, Abhirami",NA,90.64,95.84,95.84,94.8,94.28
AC05,17-04-23,AC,9,8,13,17,5.5,6,5,1,3,4.1,12.890961,75.673284,"Vijay, Kiran, Ranjith, Sanjeeth, Abhirami",NA,90.64,91.68,86.48,82.32,87.78
EC05,18-04-23,EC,13,10,6,9,3.5,6,4.5,3,3.5,4.1,12.891145,75.674119,"Vijay, Kiran, Ranjith, Sanjeeth, Abhirami",Tea trees in the plot. Abandoned tea?,86.48,89.6,93.76,90.64,90.12
AC06,18-04-23,AC,6,5,5,7,5.5,5,12,6,6,6.9,12.89003,75.673797,"Vijay, Kiran, Ranjith, Sanjeeth, Abhirami",Near existing trail,93.76,94.8,94.8,92.72,94.02
EC06,18-04-23,EC,8,5,6,5,11,4.5,6.5,4,4,6,12.890185,76.674235,"Vijay, Kiran, Ranjith, Sanjeeth, Abhirami",NA,91.68,94.8,93.76,94.8,93.76
AC07,19-04-23,AC,7,6,6,9,7.5,8,5,10,9,7.9,12.888777,75.67337,"Kiran, Ranjith, Sanjeeth, Abhirami",NA,92.72,93.76,93.76,90.64,92.72
EC07,19-04-23,EC,15,10,14,15,6.5,5.5,6.5,5,7,6.1,12.888548,75.673837,"Kiran, Ranjith, Sanjeeth, Abhirami",NA,84.4,89.6,85.44,84.4,85.96
AC08,20-04-23,AC,10,7,6,8,6,5,4.5,7,3.5,5.2,12.888777,75.67337,"Kiran, Ranjith, Sanjeeth, Abhirami",NA,89.6,92.72,93.76,91.68,91.94
EC08,20-04-23,EC,10,6,9,11,5.5,4,7.5,4.5,2.5,4.8,12.889008,75.67133,"Kiran, Ranjith, Sanjeeth, Abhirami",NA,89.6,93.76,90.64,88.56,90.64
RF01,06-05-23,RF,7,7,3,6,3,5.5,5,8,6,5.5,12.900132,75.658152,"Vijay, Manu, Kiran, Abhirami",NA,92.72,92.72,96.88,93.76,94.02
RF02,06-05-23,RF,9,8,4,5,3.5,9,4.5,7,4,5.6,12.901963,75.658503,"Vijay, Manu, Kiran, Abhirami",NA,90.64,91.68,95.84,94.8,93.24
RF03,06-05-23,RF,8,4,2,4,5,3,6,3.5,4,4.3,12.901425,75.656698,"Vijay, Manu, Kiran, Abhirami",NA,91.68,95.84,97.92,95.84,95.32
RF04,07-05-23,RF,3,5,8,6,6.5,3,4,5.5,8,5.4,12.90473,75.658588,"Vijay, Manu, Kiran, Abhirami",NA,96.88,94.8,91.68,93.76,94.28
RF05,07-05-23,RF,8,6,3,5,4.5,3,4.5,3.5,4,3.9,12.912213,75.657502,"Vijay, Manu, Kiran, Abhirami",NA,91.68,93.76,96.88,94.8,94.28
RF06,08-05-23,RF,12,9,10,6,4,5.5,9,6.5,6,6.2,12.912315,75.663228,"Vijay, Manu, Kiran, Abhirami",NA,87.52,90.64,89.6,93.76,90.38
AC09,09-05-23,AC,5,3,4,6,5,6,5,4.5,5.5,5.2,12.888067,75.669213,"Manu, Kiran, Rama, Abhirami",NA,94.8,96.88,95.84,93.76,95.32
EC09,09-05-23,EC,6,6,7,6,7,5.5,6,4.5,7.5,6.1,12.88893,75.670573,"Manu, Kiran, Rama, Abhirami",NA,93.76,93.76,92.72,93.76,93.5
AC10,09-05-23,AC,4,5,12,13,8,5,7,3,6.5,5.9,12.887433,75.668958,"Manu, Kiran, Rama, Abhirami",NA,95.84,94.8,87.52,86.48,91.16
AC11,12-05-23,AC,11,12,6,7,5,6.5,5,6,5.5,5.6,12.884312,75.669205,"Ranjith, Rama, Kiran, Abhirami",NA,88.56,87.52,93.76,92.72,90.64
AC12,12-05-23,AC,4,9,7,8,5,5.5,6.5,9.5,6,6.5,12.882183,75.668393,"Ranjith, Rama, Kiran, Abhirami",NA,95.84,90.64,92.72,91.68,92.72
AC13,13-05-23,AC,5,4,4,5,8,7.5,3,5,5,5.7,12.881535,75.668947,"Ranjith, Rama, Kiran, Abhirami",NA,94.8,95.84,95.84,94.8,95.32
AC14,13-05-23,AC,6,5,9,10,8,8,7.5,6.5,4,6.8,12.881383,75.669542,"Ranjith, Rama, Kiran, Abhirami",NA,93.76,94.8,90.64,89.6,92.2
AC15,16-05-23,AC,7,3,8,5,4.5,7,8.5,7,7.5,6.9,12.880305,75.670847,"Vijay, Kiran, Abhirami",NA,92.72,96.88,91.68,94.8,94.02
EC10,16-05-23,EC,7,6,4,5,4.5,4.5,5,6.5,4,4.9,12.885845,75.66815,"Vijay, Kiran, Abhirami",NA,92.72,93.76,95.84,94.8,94.28
AC16,17-05-23,AC,7,5,4,10,4,3.5,4.5,4,5,4.2,12.89117,75.670927,"Ranjith, Kiran, Abhirami",NA,92.72,94.8,95.84,89.6,93.24
AC17,17-05-23,AC,9,6,4,6,4.5,5,4,5.5,4.5,4.7,12.890482,75.670187,"Ranjith, Kiran, Abhirami",NA,90.64,93.76,95.84,93.76,93.5
AC18,17-05-23,AC,8,10,9,7,2.5,9,4,4,4.5,4.8,12.889725,75.669623,"Ranjith, Kiran, Abhirami",NA,91.68,89.6,90.64,92.72,91.16
AC19,19-05-23,AC,4,7,7,6,5.5,8,4.5,5,5.5,5.7,12.890495,75.669289,"Ranjith, Kiran, Anikit, Abhirami",NA,95.84,92.72,92.72,93.76,93.76
AC20,19-05-23,AC,16,9,6,14,6.5,5.5,4,3.5,4.5,4.8,12.880518,75.669678,"Ranjith, Kiran, Anikit, Abhirami",NA,83.36,90.64,93.76,85.44,88.3
EC11,19-05-23,EC,4,6,8,8,4.5,7.5,5,5.5,5,5.5,12.89117,75.671655,"Ranjith, Kiran, Anikit, Abhirami",NA,95.84,93.76,91.68,91.68,93.24
EC12,21-05-23,EC,9,7,5,13,10,7,9.5,4.5,7,7.6,12.89207,75.671432,"Ranjith, Kiran, Anikit, Abhirami",NA,90.64,92.72,94.8,86.48,91.16
EC13,21-05-23,EC,8,6,8,6,4.5,7,5.5,6.5,4,5.5,12.89235,75.67041,"Ranjith, Kiran, Anikit, Abhirami",NA,91.68,93.76,91.68,93.76,92.72
EC14,22-05-23,EC,6,6,5,11,5,4.5,5,7,8.5,6,12.891737,75.670475,"Vijay, Kiran, Abhirami",NA,93.76,93.76,94.8,88.56,92.72
EC15,22-05-23,EC,5,3,3,5,4,8.5,5.5,6.5,4.5,5.8,12.891118,75.669472,"Vijay, Kiran, Abhirami",NA,94.8,96.88,96.88,94.8,95.84
EC16,23-05-23,EC,5,4,4,3,4,5.5,8.5,4.5,7,5.9,12.886408,75.670535,"Ranjith, Kiran, Abhirami",NA,94.8,95.84,95.84,96.88,95.84
EC17,23-05-23,EC,5,3,6,5,7,7,5.5,4.5,5,5.8,12.886893,75.670888,"Ranjith, Kiran, Abhirami",NA,94.8,96.88,93.76,94.8,95.06
EC18,23-05-23,EC,8,6,5,5,6,5.5,4,7.5,4,5.4,12.886453,75.672322,"Ranjith, Kiran, Abhirami",NA,91.68,93.76,94.8,94.8,93.76
EC19,24-05-23,EC,5,8,3,5,5,7.5,7.5,3,5.5,5.7,12.891178,75.66996,"Ranjith, Kiran, Anikit, Abhirami",NA,94.8,91.68,96.88,94.8,94.54
EC20,24-05-23,EC,12,6,5,5,4,4.5,5,6.5,4,4.8,12.889331,75.674305,"Ranjith, Kiran, Anikit, Abhirami",NA,87.52,93.76,94.8,94.8,92.72
RF07,09-06-23,RF,3,3,3,6,4,6,6.5,4.5,4,5,12.876038,75.671656,"Ranjith, Kiran, Abhirami",NA,96.88,96.88,96.88,93.76,96.1
RF08,09-06-23,RF,5,4,4,4,4.5,5.5,3,2,1.5,3.3,12.874309,75.671366,"Ranjith, Kiran, Abhirami",NA,94.8,95.84,95.84,95.84,95.58
RF09,11-06-23,RF,12,9,5,6,4,4.5,3.5,3,4,3.8,12.92833,75.65005,"Ranjith, Kiran, Abhirami, Nitha",NA,87.52,90.64,94.8,93.76,91.68
RF10,11-06-23,RF,5,5.5,4.5,5.5,4,3,3,5,4,3.8,12.927958,75.651506,"Ranjith, Kiran, Abhirami, Nitha",NA,94.8,94.28,95.32,94.28,94.67
RF11,11-06-23,RF,3,2,2,2.5,2,5,3,4,4,3.6,12.930874,75.651585,"Ranjith, Kiran, Abhirami, Nitha",NA,96.88,97.92,97.92,97.4,97.53
RF12,11-06-23,RF,5,7,9,8,4.5,4,2.5,4,4,3.8,12.927322,75.676071,"Ranjith, Kiran, Abhirami, Nitha",NA,94.8,92.72,90.64,91.68,92.46
RF13,11-06-23,RF,4,6,8,3,3,9,4,3.5,3.5,4.6,12.933395,75.678037,"Ranjith, Kiran, Abhirami, Nitha",NA,95.84,93.76,91.68,96.88,94.54
RF14,11-06-23,RF,5,5,7,6,3,4,4,4.5,4,3.9,12.934894,75.676262,"Ranjith, Kiran, Abhirami, Nitha",NA,94.8,94.8,92.72,93.76,94.02
RF15,10-06-23,RF,8,7,6,5,3,4,4,3,4.5,3.7,12.930684,75.660076,"Ranjith, Kiran, Abhirami, Nitha",NA,91.68,92.72,93.76,94.8,93.24
RF16,10-06-23,RF,7,6,3,5,4.5,4,4,3,4,3.9,12.931755,75.659719,"Ranjith, Kiran, Abhirami, Nitha",NA,92.72,93.76,96.88,94.8,94.54
RF17,10-06-23,RF,9,7,7,8,5.5,5,4,3,4,4.3,12.933107,75.660008,"Ranjith, Kiran, Abhirami, Nitha",NA,90.64,92.72,92.72,91.68,91.94
RF18,10-06-23,RF,5,4,4,7,3,3.5,3.5,3,4,3.4,12.933445,75.668172,"Ranjith, Kiran, Abhirami, Nitha",NA,94.8,95.84,95.84,92.72,94.8
RF19,10-06-23,RF,5,7,7,4,3.5,3.5,4,3.5,5,3.9,12.935648,75.663981,"Ranjith, Kiran, Abhirami, Nitha",NA,94.8,92.72,92.72,95.84,94.02
RF20,10-06-23,RF,5,4,8,6,10,7,7,7,6.5,7.5,12.933855,75.662271,"Ranjith, Kiran, Abhirami, Nitha",NA,94.8,95.84,91.68,93.76,94.02
