PlotID,Accepted_name,Height,dbh1,dbh2,dbh3,dbh4,dbh5,dbh6
AC01,Drypetes_oblongifolia,2.03,2.4,NA,NA,NA,NA,NA
AC01,Coffea_canephora,2,1.3,3.2,4.9,2.6,NA,NA
AC01,Coffea_canephora,4.42,3.9,1.6,NA,NA,NA,NA
AC01,Tritaxis_beddomei,2.17,2.23,NA,NA,NA,NA,NA
AC01,Tritaxis_beddomei,3.59,1.6,NA,NA,NA,NA,NA
AC02,Tabernaemontana_alternifolia,4.83,3,NA,NA,NA,NA,NA
AC02,Coffea_canephora,2.53,1.9,1.9,1.9,NA,NA,NA
AC02,Dimocarpus_longan,1.97,1.5,NA,NA,NA,NA,NA
AC02,Dimocarpus_longan,2.5,2.6,NA,NA,NA,NA,NA
AC02,Cinnamomum_malabatrum,1.05,1.3,NA,NA,NA,NA,NA
AC02,Litsea_mysorensis,2.5,2.6,NA,NA,NA,NA,NA
AC02,Nothopegia_beddomei,5.69,3.5,NA,NA,NA,NA,NA
AC02,Cinnamomum_malabatrum,1.22,1.6,NA,NA,NA,NA,NA
EC03,Discospermum_sphaerocarpum,4.1,2.01,NA,NA,NA,NA,NA
EC03,Psychotria_nigra,3.3,4.29,NA,NA,NA,NA,NA
EC03,Casearia_wynadensis,6.5,6.34,NA,NA,NA,NA,NA
EC03,Coffea_arabica,1.2,4.08,NA,NA,NA,NA,NA
EC03,Microtropis_latifolia,1.5,1.15,NA,NA,NA,NA,NA
EC03,Psychotria_nigra,1.9,1.11,NA,NA,NA,NA,NA
EC03,Actinodaphne_bourdillonii,5.08,8.1,NA,NA,NA,NA,NA
EC02,Discospermum_sphaerocarpum,1.35,1.3,NA,NA,NA,NA,NA
EC02,Discospermum_sphaerocarpum,1.8,1.5,NA,NA,NA,NA,NA
EC02,Agrostistachys_borneensis,4.2,3.5,3.8,NA,NA,NA,NA
EC02,Agrostistachys_borneensis,6.17,9.4,9.4,3.4,NA,NA,NA
EC02,Agrostistachys_borneensis,5.7,8.7,NA,NA,NA,NA,NA
EC02,Agrostistachys_borneensis,4.5,2.5,2.7,2.8,2.5,1.8,NA
EC02,Cryptocarya_wightiana,6.2,6,NA,NA,NA,NA,NA
EC02,Agrostistachys_borneensis,6.7,8.9,7,NA,NA,NA,NA
EC02,Agrostistachys_borneensis,3.2,2.7,2.2,2.3,2,1.4,NA
EC02,Discospermum_sphaerocarpum,2.5,3.3,NA,NA,NA,NA,NA
EC02,Discospermum_sphaerocarpum,1.9,1.9,NA,NA,NA,NA,NA
AC04,Psychotria_nilgiriensis,2.5,1.5,NA,NA,NA,NA,NA
AC04,Clausena_anisata,6.5,5.5,NA,NA,NA,NA,NA
AC04,Clausena_anisata,5,3.8,NA,NA,NA,NA,NA
AC04,Clausena_anisata,4.5,5,NA,NA,NA,NA,NA
AC04,Clausena_anisata,3.5,2.6,NA,NA,NA,NA,NA
AC04,Syzygium_rubicundum,5,2.8,NA,NA,NA,NA,NA
AC04,Coffea_canephora,4,1.9,NA,NA,NA,NA,NA
AC04,Psychotria_nigra,2,1.3,NA,NA,NA,NA,NA
AC04,Clausena_anisata,7,5.6,NA,NA,NA,NA,NA
AC04,Actinodaphne_bourdillonii,6.5,5.7,NA,NA,NA,NA,NA
AC04,Litsea_mysorensis,4,5.9,NA,NA,NA,NA,NA
AC04,Eugenia_aloysii,4,3.2,1.3,3.2,2.2,5.2,2.8
AC04,Coffea_arabica,4.5,3.3,1.7,2.7,2.9,2.4,NA
AC04,Clausena_anisata,3,2.4,NA,NA,NA,NA,NA
AC04,Actinodaphne_bourdillonii,3,1.3,NA,NA,NA,NA,NA
AC04,Clausena_anisata,3.5,2.8,NA,NA,NA,NA,NA
AC04,Actinodaphne_bourdillonii,4,3.3,NA,NA,NA,NA,NA
AC04,Casearia_wynadensis,4.5,4.5,NA,NA,NA,NA,NA
AC04,Beilschmiedia_wightii,1.6,1.1,NA,NA,NA,NA,NA
EC04,Cinnamomum_malabatrum,2,1.3,NA,NA,NA,NA,NA
EC04,Psychotria_nilgiriensis,1.5,1.5,NA,NA,NA,NA,NA
EC04,Nothopegia_beddomei,6,5,5.6,NA,NA,NA,NA
EC04,Syzygium_laetum,5,9.2,NA,NA,NA,NA,NA
EC04,Psychotria_nilgiriensis,2.5,1.5,NA,NA,NA,NA,NA
EC04,Psychotria_nigra,2.5,1.5,1,NA,NA,NA,NA
EC04,Artocarpus_heterophyllus,7,7.3,NA,NA,NA,NA,NA
EC04,Cryptocarya_wightiana,2.5,1.9,NA,NA,NA,NA,NA
EC04,Strobilanthes_speciesA,2,1.2,NA,NA,NA,NA,NA
EC04,Cryptocarya_wightiana,4,3.2,NA,NA,NA,NA,NA
AC05,Coffea_canephora,5,1.3,2,4.9,4.5,4.4,NA
AC05,Coffea_canephora,2,1.1,NA,NA,NA,NA,NA
AC05,Coffea_canephora,2.5,1.1,NA,NA,NA,NA,NA
AC05,Coffea_canephora,2.7,1.7,NA,NA,NA,NA,NA
AC05,Coffea_canephora,4,2.6,4.2,3.9,NA,NA,NA
AC05,Coffea_canephora,6.5,1.4,NA,NA,NA,NA,NA
AC05,Coffea_arabica,2,1.8,NA,NA,NA,NA,NA
AC05,Coffea_canephora,2,1.8,NA,NA,NA,NA,NA
AC05,Coffea_canephora,2.5,1.4,NA,NA,NA,NA,NA
AC05,Coffea_canephora,2.5,1.2,NA,NA,NA,NA,NA
EC05,Camellia_sinensis,2.5,3.3,4,NA,NA,NA,NA
EC05,Mallotus_philippensis,4,8.5,NA,NA,NA,NA,NA
EC05,Camellia_sinensis,4.5,5.9,NA,NA,NA,NA,NA
EC05,Mesua_ferrea,2.5,2,NA,NA,NA,NA,NA
EC05,Psychotria_nigra,7.8,2.2,2.4,1.7,NA,NA,NA
EC05,Diospyros_nilagirica,4,3.5,NA,NA,NA,NA,NA
EC05,Cryptocarya_wightiana,1.5,2.1,1.5,NA,NA,NA,NA
EC05,Excoecaria_oppositifolia,2,1.4,2,NA,NA,NA,NA
EC05,Calophyllum_polyanthum,5.5,5.4,NA,NA,NA,NA,NA
EC06,Monoon_fragrans,1.5,1.5,1.6,NA,NA,NA,NA
EC06,Psychotria_nilgiriensis,2,3,NA,NA,NA,NA,NA
EC06,Blachia_umbellata,2.5,2.6,NA,NA,NA,NA,NA
EC06,Camellia_sinensis,4.5,6.3,NA,NA,NA,NA,NA
EC06,Camellia_sinensis,2,1.7,1.4,NA,NA,NA,NA
EC06,Camellia_sinensis,2,1.8,NA,NA,NA,NA,NA
EC06,Syzygium_rubicundum,4.5,2.9,NA,NA,NA,NA,NA
EC06,Memecylon_wightii,2,1.9,NA,NA,NA,NA,NA
EC06,Camellia_sinensis,2,6,NA,NA,NA,NA,NA
AC06,Psychotria_nilgiriensis,1.5,1.1,NA,NA,NA,NA,NA
AC06,Vateria_indica,3.5,2.8,NA,NA,NA,NA,NA
AC06,Actinodaphne_tadulingamii,2,1.9,NA,NA,NA,NA,NA
AC06,Coffea_canephora,5,2.4,NA,NA,NA,NA,NA
AC06,Coffea_canephora,4,2,NA,NA,NA,NA,NA
AC06,Actinodaphne_bourdillonii,4,2.5,NA,NA,NA,NA,NA
AC06,Psychotria_nilgiriensis,1.5,2,NA,NA,NA,NA,NA
AC06,Coffea_canephora,6,2.7,2.4,3.6,2.7,4,NA
AC06,Actinodaphne_tadulingamii,6,4.9,NA,NA,NA,NA,NA
AC06,Vateria_indica,6,4.5,NA,NA,NA,NA,NA
AC06,Vateria_indica,8,7.1,NA,NA,NA,NA,NA
AC06,Vateria_indica,5.5,4,NA,NA,NA,NA,NA
AC06,Vateria_indica,1.8,1.5,NA,NA,NA,NA,NA
AC06,Vateria_indica,1.8,2.5,NA,NA,NA,NA,NA
AC06,Blachia_umbellata,2.6,2.9,6,NA,NA,NA,NA
AC06,Scolopia_crenata,1.5,1.7,NA,NA,NA,NA,NA
AC06,Blachia_umbellata,5.5,1.4,1.6,2.8,NA,NA,NA
AC06,Vateria_indica,2.5,1.4,NA,NA,NA,NA,NA
AC06,Coffea_canephora,3,2.1,NA,NA,NA,NA,NA
AC06,Coffea_canephora,7.5,5.6,NA,NA,NA,NA,NA
AC07,Coffea_canephora,2.8,1.3,NA,NA,NA,NA,NA
AC07,Vateria_indica,3.1,3.3,NA,NA,NA,NA,NA
AC07,Mesua_ferrea,3.8,3.3,NA,NA,NA,NA,NA
AC07,Psychotria_nilgiriensis,1.04,1.8,1.6,NA,NA,NA,NA
AC07,Vateria_indica,1.83,1.5,NA,NA,NA,NA,NA
AC07,Coffea_canephora,1.74,1.6,NA,NA,NA,NA,NA
AC07,Dimocarpus_longan,3.7,2.5,NA,NA,NA,NA,NA
AC07,Vateria_indica,2.55,1.8,NA,NA,NA,NA,NA
AC07,Vateria_indica,2.85,2.2,NA,NA,NA,NA,NA
AC07,Coffea_canephora,2,1.4,NA,NA,NA,NA,NA
AC07,Coffea_canephora,2.34,1.2,NA,NA,NA,NA,NA
AC07,Vateria_indica,2.66,1.5,NA,NA,NA,NA,NA
AC07,Coffea_canephora,2.4,1.2,NA,NA,NA,NA,NA
AC07,Vateria_indica,2.65,2.5,NA,NA,NA,NA,NA
AC07,Climber_species,4.3,3.1,2.6,NA,NA,NA,NA
AC07,Vateria_indica,2.5,1.2,NA,NA,NA,NA,NA
AC07,Coffea_canephora,1.63,1.4,NA,NA,NA,NA,NA
AC07,Mesua_ferrea,2.66,1.9,NA,NA,NA,NA,NA
AC07,Psychotria_nilgiriensis,2.5,3.2,NA,NA,NA,NA,NA
AC07,Aphanamixis_polystachya,2.3,3.1,NA,NA,NA,NA,NA
AC07,Olea_dioica,2.98,3.1,NA,NA,NA,NA,NA
AC07,Vateria_indica,3.32,3.8,NA,NA,NA,NA,NA
EC07,Elaeodendron_paniculatum,4.85,5.6,NA,NA,NA,NA,NA
EC07,Elaeodendron_paniculatum,4,3.6,NA,NA,NA,NA,NA
EC07,Psychotria_nigra,3.06,1.7,NA,NA,NA,NA,NA
EC07,Aglaia_elaeagnoidea,1.85,1.9,NA,NA,NA,NA,NA
EC07,Mesua_ferrea,1.9,1.5,NA,NA,NA,NA,NA
EC07,Excoecaria_oppositifolia,2.35,1,NA,NA,NA,NA,NA
EC07,Aglaia_elaeagnoidea,2.5,1.9,NA,NA,NA,NA,NA
EC08,Mesua_ferrea,2.35,1.3,NA,NA,NA,NA,NA
EC08,Reinwardtiodendron_anamalaiense,2.85,1,NA,NA,NA,NA,NA
EC08,Vateria_indica,1.55,1.5,NA,NA,NA,NA,NA
EC08,Litsea_mysorensis,3.15,3.9,NA,NA,NA,NA,NA
EC08,Dimocarpus_longan,3.6,1.4,NA,NA,NA,NA,NA
EC08,Vateria_indica,3.25,2.8,1.7,NA,NA,NA,NA
EC08,Vateria_indica,3.15,1.4,NA,NA,NA,NA,NA
AC08,Coffea_canephora,2.8,1.8,NA,NA,NA,NA,NA
AC08,Coffea_canephora,2.1,1.9,NA,NA,NA,NA,NA
AC08,Coffea_canephora,2.3,1.2,NA,NA,NA,NA,NA
AC08,Coffea_canephora,2.2,1.5,NA,NA,NA,NA,NA
AC08,Coffea_canephora,2.1,1.1,NA,NA,NA,NA,NA
AC08,Leea_indica,1.9,1.4,NA,NA,NA,NA,NA
AC08,Coffea_canephora,2.3,1,NA,NA,NA,NA,NA
AC08,Dimocarpus_longan,1.3,1,NA,NA,NA,NA,NA
AC08,Mesua_ferrea,1.9,1.6,NA,NA,NA,NA,NA
AC08,Dimocarpus_longan,3.15,2.3,NA,NA,NA,NA,NA
AC08,Cinnamomum_malabatrum,3.2,1.2,NA,NA,NA,NA,NA
AC08,Leea_indica,3.3,1.3,NA,NA,NA,NA,NA
AC08,Dimocarpus_longan,3.2,2.9,NA,NA,NA,NA,NA
AC08,Symplocos_macrophylla,1.55,2.4,NA,NA,NA,NA,NA
AC08,Mesua_ferrea,3.5,2.4,NA,NA,NA,NA,NA
AC08,Monoon_fragrans,3.5,3.9,NA,NA,NA,NA,NA
AC08,Coffea_canephora,4.95,2.9,1.7,1.3,2.6,3.1,NA
AC08,Nothopegia_beddomei,2.35,2.6,NA,NA,NA,NA,NA
AC08,Coffea_arabica,3.1,1.8,NA,NA,NA,NA,NA
AC08,Coffea_canephora,4.4,2.9,NA,NA,NA,NA,NA
AC08,Coffea_canephora,4.85,2.8,NA,NA,NA,NA,NA
AC08,Coffea_canephora,3.25,1.4,NA,NA,NA,NA,NA
AC08,Dimocarpus_longan,2.5,1.1,NA,NA,NA,NA,NA
AC08,Coffea_canephora,2.75,1,NA,NA,NA,NA,NA
AC08,Tabernaemontana_alternifolia,6.3,8.2,NA,NA,NA,NA,NA
RF01,Blachia_umbellata,4.82,3.2,1.8,2.1,2.3,3.6,2
RF01,Callicarpa_tomentosa,4.41,8.2,NA,NA,NA,NA,NA
RF01,Colebrookea_oppositifolia,5.1,3.4,1.7,NA,NA,NA,NA
RF01,Blachia_umbellata,3.5,1.6,NA,NA,NA,NA,NA
RF01,Blachia_umbellata,2.36,1,NA,NA,NA,NA,NA
RF01,Microtropis_latifolia,2.61,3.6,NA,NA,NA,NA,NA
RF01,Psychotria_nigra,3.25,2,NA,NA,NA,NA,NA
RF01,Psychotria_nigra,2.57,2.2,NA,NA,NA,NA,NA
RF01,Nothopegia_beddomei,3.29,2.7,NA,NA,NA,NA,NA
RF01,Psychotria_nigra,3.49,1.6,NA,NA,NA,NA,NA
RF01,Nothopegia_castaneifolia,8.01,9.9,NA,NA,NA,NA,NA
RF01,Psychotria_nigra,2.57,1.9,NA,NA,NA,NA,NA
RF01,Eugenia_aloysii,8.7,8.7,NA,NA,NA,NA,NA
RF01,Dimocarpus_longan,2.27,1.5,NA,NA,NA,NA,NA
RF02,Drypetes_oblongifolia,3.22,2,NA,NA,NA,NA,NA
RF02,Glycosmis_macrocarpa,4.28,3.2,NA,NA,NA,NA,NA
RF02,Glycosmis_macrocarpa,5.31,4.8,NA,NA,NA,NA,NA
RF02,Glycosmis_macrocarpa,4.37,3.8,NA,NA,NA,NA,NA
RF02,Blachia_umbellata,2.66,1.4,NA,NA,NA,NA,NA
RF02,Cryptocarya_wightiana,10.6,9.8,NA,NA,NA,NA,NA
RF02,Nothopegia_beddomei,3.45,2.1,NA,NA,NA,NA,NA
RF02,Palaquium_ellipticum,3.67,2,NA,NA,NA,NA,NA
RF02,Drypetes_oblongifolia,1.7,1.1,NA,NA,NA,NA,NA
RF02,Blachia_umbellata,2.02,1.1,NA,NA,NA,NA,NA
RF02,Nothopegia_beddomei,7.96,2.4,2.6,NA,NA,NA,NA
RF02,Nothopegia_beddomei,2,1.4,NA,NA,NA,NA,NA
RF02,Blachia_umbellata,2.31,1.9,NA,NA,NA,NA,NA
RF02,Palaquium_ellipticum,9.08,5.4,NA,NA,NA,NA,NA
RF02,Blachia_umbellata,5.17,5,NA,NA,NA,NA,NA
RF05,Eugenia_aloysii,3.8,1.5,NA,NA,NA,NA,NA
RF05,Psychotria_nigra,6.2,4.3,5.5,NA,NA,NA,NA
RF05,Dimocarpus_longan,9.6,9.1,NA,NA,NA,NA,NA
RF05,Psychotria_nigra,2.5,4.6,NA,NA,NA,NA,NA
RF05,Casearia_wynadensis,7.9,6,NA,NA,NA,NA,NA
RF05,Symplocos_cochinchinensis,7,1.3,NA,NA,NA,NA,NA
RF05,Diospyros_candolleana,2.3,1.3,NA,NA,NA,NA,NA
RF05,Psychotria_nigra,4.1,2.9,1.7,NA,NA,NA,NA
RF05,Diospyros_candolleana,2.7,2,NA,NA,NA,NA,NA
RF05,Eugenia_aloysii,2.6,1.4,NA,NA,NA,NA,NA
RF04,Blachia_umbellata,3,3.8,NA,NA,NA,NA,NA
RF04,Eugenia_aloysii,2.5,2.8,NA,NA,NA,NA,NA
RF04,Nothopegia_castaneifolia,4.5,3.3,NA,NA,NA,NA,NA
RF04,Eugenia_aloysii,3.1,1,NA,NA,NA,NA,NA
RF04,Mesua_ferrea,6.8,4.5,NA,NA,NA,NA,NA
RF04,Nothopegia_beddomei,3.5,3.1,2.5,NA,NA,NA,NA
RF04,Blachia_umbellata,2.13,2.6,NA,NA,NA,NA,NA
RF04,Eugenia_aloysii,3.9,2.8,NA,NA,NA,NA,NA
RF04,Blachia_umbellata,2.5,3.2,NA,NA,NA,NA,NA
RF04,Eugenia_aloysii,4,3.7,NA,NA,NA,NA,NA
RF04,Blachia_umbellata,2.7,5,2.2,NA,NA,NA,NA
RF04,Meiogyne_pannosa,6.2,3.2,NA,NA,NA,NA,NA
RF04,Nothopegia_castaneifolia,9.7,8.6,NA,NA,NA,NA,NA
RF03,Litsea_mysorensis,4.25,9.5,NA,NA,NA,NA,NA
RF03,Psychotria_truncata,4.31,5.3,NA,NA,NA,NA,NA
RF03,Psychotria_nigra,5.97,2.5,1.8,NA,NA,NA,NA
RF03,Psychotria_nigra,2.39,2,NA,NA,NA,NA,NA
RF03,Psychotria_nigra,2.52,1.5,NA,NA,NA,NA,NA
RF03,Psychotria_nigra,1.19,2,NA,NA,NA,NA,NA
RF03,Psychotria_truncata,1.96,1.5,NA,NA,NA,NA,NA
RF03,Psychotria_truncata,3.14,4.5,2.7,2,NA,NA,NA
RF03,Psychotria_nigra,4.61,4,2.5,NA,NA,NA,NA
RF03,Blachia_umbellata,3.46,3,1.5,NA,NA,NA,NA
RF03,Blachia_umbellata,5.76,3.3,NA,NA,NA,NA,NA
RF03,Blachia_umbellata,4.76,4.3,3.8,NA,NA,NA,NA
RF03,Cryptocarya_wightiana,7.28,6.3,NA,NA,NA,NA,NA
RF03,Nothopegia_beddomei,6.17,9.8,NA,NA,NA,NA,NA
RF03,Blachia_umbellata,6.2,4,3.7,NA,NA,NA,NA
RF03,Discospermum_sphaerocarpum,3.52,1.7,NA,NA,NA,NA,NA
RF06,Blachia_umbellata,5.4,2.8,3.6,4.6,4.5,5,NA
RF06,Blachia_umbellata,5.6,3,NA,NA,NA,NA,NA
RF06,Diospyros_pruriens,9,9.2,NA,NA,NA,NA,NA
RF06,Blachia_umbellata,3.2,2.7,NA,NA,NA,NA,NA
RF06,Diospyros_pruriens,1.9,2.1,NA,NA,NA,NA,NA
RF06,Blachia_umbellata,2.7,1.7,NA,NA,NA,NA,NA
RF06,Blachia_umbellata,2.5,1.7,NA,NA,NA,NA,NA
RF06,Blachia_umbellata,2.6,2.4,NA,NA,NA,NA,NA
AC09,Coffea_canephora,5.3,4.7,2.1,NA,NA,NA,NA
AC09,Litsea_floribunda,6.11,8,NA,NA,NA,NA,NA
AC09,Psychotria_nigra,4.36,3.2,2.2,NA,NA,NA,NA
AC09,Aglaia_elaeagnoidea,3.19,3.3,NA,NA,NA,NA,NA
AC09,Nothopegia_beddomei,3.07,2.5,NA,NA,NA,NA,NA
AC09,Leea_indica,3.18,2.5,2,NA,NA,NA,NA
AC09,Actinodaphne_bourdillonii,1.63,1.5,NA,NA,NA,NA,NA
AC09,Coffea_canephora,3.21,4.4,NA,NA,NA,NA,NA
AC09,Clerodendrum_infortunatum,6.5,9,NA,NA,NA,NA,NA
AC09,Mastixia_arborea,3.5,2.4,NA,NA,NA,NA,NA
AC09,Leea_indica,4,2.9,NA,NA,NA,NA,NA
AC09,Mallotus_resinosus,3.15,3,1.5,NA,NA,NA,NA
AC09,Callicarpa_tomentosa,5.5,2,NA,NA,NA,NA,NA
AC09,Litsea_floribunda,7,3.8,NA,NA,NA,NA,NA
EC09,Beilschmiedia_wightii,3,2.6,NA,NA,NA,NA,NA
EC09,Eugenia_aloysii,3,1.5,NA,NA,NA,NA,NA
EC09,Aglaia_elaeagnoidea,3.8,2.7,NA,NA,NA,NA,NA
EC09,Eugenia_aloysii,4.5,1.7,1.7,NA,NA,NA,NA
EC09,Psychotria_nigra,2.91,2.6,2.6,NA,NA,NA,NA
EC09,Psychotria_nigra,2.75,2,NA,NA,NA,NA,NA
EC09,Nothopegia_beddomei,3.5,2.6,3.5,2,NA,NA,NA
EC09,Blachia_umbellata,3.5,2.3,2.7,1.8,2.1,NA,NA
EC09,Mesua_ferrea,3.64,2.2,NA,NA,NA,NA,NA
EC09,Nothopegia_beddomei,3.95,2,NA,NA,NA,NA,NA
EC09,Diospyros_nilagirica,4.94,3.4,NA,NA,NA,NA,NA
EC09,Blachia_umbellata,1.11,2.6,3,NA,NA,NA,NA
EC09,Psychotria_nigra,1.5,1.7,NA,NA,NA,NA,NA
EC09,Nothopegia_beddomei,4.25,2.9,1.32,NA,NA,NA,NA
EC09,Cinnamomum_malabatrum,3.25,2.2,NA,NA,NA,NA,NA
EC09,Mesua_ferrea,3.5,2,NA,NA,NA,NA,NA
EC09,Eugenia_aloysii,4.17,3,NA,NA,NA,NA,NA
AC10,Psychotria_nigra,3.68,3,NA,NA,NA,NA,NA
AC10,Olea_dioica,1.17,3.58,NA,NA,NA,NA,NA
AC10,Climber_species,2.5,4.2,NA,NA,NA,NA,NA
AC10,Cryptocarya_wightiana,2.62,1.6,NA,NA,NA,NA,NA
AC10,Cinnamomum_malabatrum,4.21,4,NA,NA,NA,NA,NA
AC10,Olea_dioica,4.35,3.3,NA,NA,NA,NA,NA
AC10,Mesua_ferrea,5,1.6,NA,NA,NA,NA,NA
AC10,Mallotus_philippensis,3.38,2.5,2.5,NA,NA,NA,NA
AC10,Clausena_anisata,3.88,2,NA,NA,NA,NA,NA
AC10,Pajanelia_longifolia,3.37,3.5,NA,NA,NA,NA,NA
AC10,Mesua_ferrea,3.7,2,NA,NA,NA,NA,NA
AC10,Coffea_arabica,2.5,1.3,2,1,NA,NA,NA
AC11,Coffea_canephora,3,2.1,NA,NA,NA,NA,NA
AC11,Coffea_canephora,4,1.45,NA,NA,NA,NA,NA
AC11,Coffea_canephora,1.5,1.4,NA,NA,NA,NA,NA
AC11,Coffea_canephora,2,1.4,NA,NA,NA,NA,NA
AC11,Syzygium_rubicundum,4.3,1.82,NA,NA,NA,NA,NA
AC11,Psychotria_nigra,3.5,1.63,1.8,3.3,1.04,1.3,NA
AC11,Coffea_canephora,2.5,1.9,NA,NA,NA,NA,NA
AC11,Coffea_canephora,2,1.5,NA,NA,NA,NA,NA
AC11,Dimocarpus_longan,2.1,1.1,NA,NA,NA,NA,NA
AC11,Coffea_canephora,2.5,1.7,NA,NA,NA,NA,NA
AC11,Clausena_anisata,2.3,1.8,NA,NA,NA,NA,NA
AC11,Casearia_wynadensis,3.5,1.64,NA,NA,NA,NA,NA
AC11,Coffea_canephora,4,1.85,NA,NA,NA,NA,NA
AC11,Ixora_brachiata,3,1.9,NA,NA,NA,NA,NA
